,0
799,1
800,1
801,10
802,8
803,1
804,6
805,1
806,7
807,1
808,10
809,1
810,6
811,6
812,6
813,7
814,8
815,8
816,8
817,10
818,11
819,11
820,11
821,11
822,11
823,11
824,11
825,11
826,11
827,11
828,11
829,11
830,11
831,11
832,11
833,11
834,11
835,11
836,11
837,11
838,11
839,11
840,11
841,11
842,11
843,11
844,11
845,11
846,11
847,11
848,11
849,11
850,11
851,11
852,11
853,11
854,11
855,1
856,8
857,6
858,5
859,6
860,7
861,1
862,1
863,5
864,1
865,7
866,5
867,8
868,7
869,10
870,1
871,6
872,7
873,5
874,1
875,1
876,1
877,1
878,8
879,6
880,1
881,1
882,7
883,5
884,6
885,5
886,8
887,8
888,8
889,8
890,10
891,7
892,8
893,8
894,8
895,7
896,7
897,8
898,7
899,7
900,8
901,7
902,8
903,8
904,8
905,7
906,7
907,8
908,7
909,8
910,7
911,7
912,7
913,5
914,7
915,7
916,8
917,8
918,8
919,6
920,8
921,11
922,11
923,0
924,0
925,11
926,11
927,0
928,0
929,0
930,0
931,11
932,0
933,0
934,0
935,0
936,11
937,11
938,0
939,11
940,0
941,0
942,0
943,0
944,0
945,11
946,0
947,11
948,0
949,0
950,0
951,11
952,0
953,11
954,11
955,0
956,0
957,0
958,11
959,11
960,0
961,11
962,0
963,11
964,0
965,0
966,0
967,11
968,0
969,11
970,11
971,5
972,5
973,5
974,1
975,1
976,1
977,1
978,7
979,7
980,7
981,7
982,8
983,7
984,7
985,7
986,8
987,7
988,7
989,8
990,8
991,0
992,0
993,2
994,0
995,4
996,4
997,0
998,11
999,0
1000,0
1001,0
1002,0
1003,11
1004,0
1005,0
1006,11
1007,11
1008,0
1009,0
1010,0
1011,11
1012,0
1013,11
1014,0
1015,11
1016,0
1017,11
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,11
1027,11
1028,0
1029,0
1030,11
1031,11
1032,0
1033,0
1034,11
1035,0
1036,0
1037,11
1038,11
1039,0
1040,11
1041,0
1042,11
1043,0
1044,0
1045,6
1046,10
1047,6
1048,1
1049,8
1050,7
1051,1
1052,1
1053,5
1054,6
1055,6
1056,6
1057,8
1058,1
1059,7
1060,7
1061,6
1062,1
1063,10
1064,6
1065,6
1066,6
1067,6
1068,6
1069,9
1070,1
1071,9
1072,6
1073,1
1074,9
1075,6
1076,9
1077,2
1078,9
1079,9
1080,9
1081,6
1082,9
1083,9
1084,9
1085,9
1086,9
1087,9
1088,9
1089,1
1090,1
1091,9
1092,9
1093,1
1094,9
1095,6
1096,9
1097,9
1098,9
1099,9
1100,9
1101,9
1102,9
1103,10
1104,1
1105,2
1106,0
1107,0
1108,11
1109,0
1110,4
1111,4
1112,4
1113,4
1114,0
1115,0
1116,11
1117,11
1118,11
1119,0
1120,0
1121,11
1122,11
1123,0
1124,0
1125,0
1126,0
1127,4
1128,0
1129,11
1130,1
1131,1
1132,1
1133,1
1134,0
1135,0
1136,11
1137,0
1138,0
1139,11
1140,11
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,11
1148,0
1149,0
1150,11
1151,11
1152,0
1153,11
1154,0
1155,0
1156,0
1157,0
1158,0
1159,11
1160,0
1161,0
1162,0
1163,0
1164,10
1165,1
1166,1
1167,7
1168,7
1169,7
1170,1
1171,6
1172,6
1173,9
1174,9
1175,9
1176,1
1177,10
1178,10
1179,2
1180,2
1181,2
1182,10
1183,10
1184,1
1185,1
1186,1
1187,1
1188,1
1189,0
1190,11
1191,0
1192,0
1193,11
1194,11
1195,0
1196,0
1197,0
1198,0
1199,0
1200,11
1201,0
1202,0
1203,11
1204,11
1205,0
1206,11
1207,0
1208,0
1209,0
1210,0
1211,0
1212,11
1213,0
1214,0
1215,0
1216,0
1217,0
1218,11
1219,8
1220,8
1221,8
1222,5
1223,5
1224,5
1225,8
1226,8
1227,8
1228,8
1229,8
1230,8
1231,8
1232,8
1233,8
1234,8
1235,8
1236,5
1237,5
1238,5
1239,5
1240,5
1241,5
1242,5
1243,5
1244,7
1245,5
1246,5
1247,5
1248,5
1249,5
1250,5
1251,5
1252,2
1253,2
1254,7
1255,7
1256,11
1257,8
1258,7
1259,8
1260,7
1261,7
1262,2
1263,7
1264,0
1265,8
1266,7
1267,8
1268,7
1269,8
1270,7
1271,8
1272,7
1273,7
1274,8
1275,7
1276,8
1277,8
1278,7
1279,8
1280,8
1281,7
1282,8
1283,7
1284,8
1285,7
1286,8
1287,7
1288,7
1289,8
1290,8
1291,6
1292,7
1293,7
1294,8
1295,6
1296,1
1297,6
1298,0
1299,11
1300,0
1301,0
1302,11
1303,0
1304,0
1305,0
1306,11
1307,11
1308,11
1309,0
1310,0
1311,0
1312,11
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,11
1320,0
1321,0
1322,0
1323,11
1324,8
1325,10
1326,1
1327,7
1328,1
1329,5
1330,8
1331,8
1332,1
1333,8
1334,1
1335,8
1336,8
1337,8
1338,6
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,7
1433,7
1434,1
1435,6
1436,7
1437,7
1438,8
1439,6
1440,6
1441,7
1442,10
1443,9
1444,1
1445,7
1446,6
1447,7
1448,1
1449,0
1450,6
1451,6
1452,9
1453,9
1454,9
1455,9
1456,9
1457,9
1458,6
1459,6
1460,6
1461,2
1462,9
1463,2
1464,2
1465,2
1466,9
1467,4
1468,4
1469,4
1470,11
1471,4
1472,10
1473,4
1474,4
1475,10
1476,4
1477,10
1478,2
1479,10
1480,10
1481,1
1482,6
1483,2
1484,2
1485,1
1486,9
1487,2
1488,9
1489,2
1490,1
1491,1
1492,10
1493,2
1494,9
1495,7
1496,6
1497,9
1498,9
1499,2
1500,2
1501,1
1502,2
1503,9
1504,2
1505,2
1506,9
1507,2
1508,9
1509,1
1510,6
1511,9
1512,5
1513,11
1514,11
1515,7
1516,9
1517,11
1518,11
1519,8
1520,2
1521,2
1522,11
1523,11
1524,0
1525,11
1526,8
1527,7
1528,0
1529,11
1530,2
1531,2
1532,0
1533,0
1534,0
1535,0
1536,0
1537,1
1538,9
1539,2
1540,4
1541,0
1542,0
1543,0
1544,0
1545,0
