,0
991,0
992,0
993,10
994,0
995,0
996,0
997,0
998,0
999,10
1000,0
1001,2
1002,2
1003,2
1004,2
1005,2
1006,2
1007,2
1008,2
1009,2
1010,2
1011,2
1012,2
1013,2
1014,2
1015,2
1018,2
1019,2
1020,2
1021,2
1022,2
1023,2
1024,2
1025,2
1026,2
1027,2
1028,2
1029,2
1030,2
1031,2
1033,2
1034,2
1035,2
1036,2
1037,2
1038,2
1039,2
1040,2
1041,2
1042,2
1043,2
1044,2
1045,14
1046,14
1047,14
1048,14
1050,0
1051,14
1052,14
1053,14
1054,14
1055,14
1056,14
1057,14
1058,14
1059,14
1060,14
1062,14
1063,14
1064,14
1065,14
1066,14
1067,14
1068,14
1070,14
1072,14
1073,14
1074,14
1075,4
1076,14
1077,0
1078,10
1079,0
1080,10
1081,14
1082,14
1083,14
1085,14
1086,14
1087,14
1089,10
1091,14
1092,0
1093,14
1094,0
1096,10
1097,14
1098,14
1099,0
1100,10
1101,10
1102,10
1103,0
1104,0
1105,0
1106,10
1107,10
1108,10
1109,10
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,12
1131,12
1132,12
1133,12
1134,0
1135,2
1136,2
1137,2
1138,2
1139,2
1140,2
1141,2
1142,2
1143,2
1144,2
1145,2
1146,2
1147,2
1148,2
1149,2
1150,2
1151,2
1154,2
1155,2
1156,2
1157,2
1158,2
1159,2
1160,2
1161,2
1162,2
1163,2
1164,13
1165,13
1166,13
1167,1
1168,1
1169,1
1170,13
1171,13
1172,13
1173,2
1174,8
1175,14
1177,6
1178,10
1179,10
1180,10
1181,10
1182,10
1183,10
1184,10
1185,10
1186,10
1189,2
1190,2
1191,2
1192,2
1193,2
1194,2
1195,2
1196,2
1197,2
1198,2
1199,2
1200,2
1201,2
1202,2
1203,2
1204,2
1207,2
1208,2
1209,2
1210,2
1211,2
1212,2
1213,2
1214,2
1215,2
1216,2
1217,2
1218,2
1254,13
1256,2
1260,13
1262,14
1265,1
1266,4
1267,4
1268,8
1269,4
1270,4
1271,4
1272,8
1273,4
1274,4
1275,4
1276,4
1277,4
1278,8
1279,4
1280,4
1281,4
1282,4
1283,4
1284,4
1285,8
1286,4
1287,4
1288,8
1289,4
1290,4
1324,3
1325,3
1326,3
1327,3
1328,3
1329,3
1330,3
1331,3
1332,3
1333,3
1334,3
1335,3
1336,3
1338,3
1340,2
1344,2
1345,2
1349,2
1361,2
1367,2
1370,2
1373,2
1374,2
1383,2
1384,2
1387,2
1394,2
1396,2
1402,2
1407,2
1432,6
1433,6
1434,6
1435,6
1436,6
1437,6
1438,6
1439,6
1440,6
1441,6
1442,6
1443,10
1444,6
1445,6
1446,6
1447,6
1448,6
1449,10
1450,6
1452,2
1453,2
1454,2
1455,2
1456,2
1457,2
1458,11
1459,11
1460,11
1461,11
1462,2
1463,11
1464,2
1465,2
1466,11
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1474,0
1475,0
1476,0
1477,2
1478,2
1479,2
1480,2
1483,2
1484,2
1485,2
1486,2
1487,2
1488,2
1489,2
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,10
1512,8
1513,8
1514,2
1515,13
1516,10
1517,8
1518,2
1519,8
1520,2
1521,8
1522,8
1523,10
1524,8
1525,2
1526,8
1527,12
1528,10
1529,2
1530,2
1531,0
1532,10
1533,10
1534,10
1535,10
1536,10
1539,10
1542,10
1543,10
1544,10
1545,10
1546,10
1547,10
1548,5
1549,5
1550,5
1551,5
1552,3
1553,3
1554,3
1555,5
1556,5
1557,5
1558,5
1559,5
1560,3
1561,3
1562,1
1563,1
1564,13
1565,13
1566,1
1567,1
1568,13
1569,13
1570,1
1571,13
1572,1
1573,1
1574,8
1575,13
1576,1
1577,13
1578,13
1579,13
1580,1
1581,13
1582,13
1583,1
1585,13
1587,13
1588,13
1589,1
1590,1
1591,13
1592,7
1594,7
1595,7
1598,7
1600,7
1602,7
1604,11
1605,11
1606,11
1607,11
1608,11
1609,11
1610,11
1611,11
1612,11
1613,11
1614,11
1615,11
1616,11
1617,11
1618,11
1619,11
1620,11
1621,11
1622,11
1623,11
1624,11
1625,11
1626,11
1627,11
1628,11
1629,8
1630,13
1631,13
1632,13
1633,13
1634,13
1635,13
1638,1
1640,5
1641,5
1642,5
1644,9
1645,9
1648,9
1649,2
1650,12
1651,9
1652,9
1653,13
1654,13
1655,13
1656,13
1657,13
1658,13
1659,13
1661,14
1665,0
1669,2
1670,2
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,10
1684,10
1685,10
1686,0
1687,11
1688,0
1689,10
1691,9
1692,7
1693,9
1694,9
1695,9
1696,9
1697,7
1698,7
1699,3
1700,3
1701,3
1702,3
1703,3
1704,3
1705,3
1706,3
1707,3
1708,3
1709,3
1710,3
1711,3
1712,3
1713,3
1714,3
1715,3
1716,3
1717,3
1718,3
1719,3
1720,3
1721,3
1722,3
1723,3
1724,3
1725,3
1726,3
1727,3
1728,3
1729,3
1731,2
1732,2
1733,9
1735,2
1736,2
1737,2
1738,2
1739,0
1740,2
1741,2
1742,2
1743,2
1744,2
1745,2
1746,2
1747,10
1748,2
1749,2
1752,2
1753,14
1754,14
1755,14
1756,14
1757,14
1758,14
1759,14
1760,14
1761,14
1762,14
1763,14
1764,14
1765,14
1766,14
1767,14
1768,14
1769,14
1770,14
1771,14
1772,14
1773,14
1779,14
1780,14
1781,14
1797,5
1798,5
1799,5
1800,5
1801,5
1802,5
1803,5
1804,5
1805,5
1806,5
1807,5
1808,5
1809,5
1816,8
1817,8
1818,8
1820,8
1821,8
1822,7
1823,10
1824,7
1825,8
1826,9
1827,7
1828,2
1829,2
1830,7
1831,7
1832,7
1833,7
1834,14
1835,6
1836,2
1837,1
1838,13
1840,13
1841,13
1845,13
1848,3
1849,3
1850,3
1851,3
1852,3
1853,3
1854,3
1855,3
1856,3
1857,3
1858,3
1859,3
1860,3
1861,3
1862,3
1863,3
1864,3
1865,3
1866,3
1867,3
1871,10
1872,10
1873,10
1875,10
1876,10
1877,10
1879,10
1884,10
1885,10
1887,10
1889,10
1891,10
1893,10
1894,10
1895,10
1896,10
1898,3
1899,3
1900,3
1901,3
1902,3
1903,3
1904,3
1905,3
1906,3
1907,3
1908,3
1909,3
1910,3
1911,3
1912,3
1913,3
1914,3
1915,11
1916,3
1917,3
1918,3
1919,3
1920,3
1921,3
1922,3
1923,3
1924,3
1925,3
1926,3
1927,3
1928,11
1929,14
1932,2
1933,14
1934,14
1935,2
1936,14
1937,14
1938,2
1940,2
1941,14
1942,2
1943,14
1944,2
1945,14
1946,14
1947,2
1948,14
1949,2
1950,14
1952,14
1953,2
1954,2
1956,14
1957,2
1959,1
1960,13
1961,13
1962,13
1963,13
1964,13
1965,1
1966,13
1967,13
1968,13
1969,13
1970,13
1971,13
1972,1
1973,1
1974,13
1975,1
1976,1
1977,13
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,2
1987,0
