,0
799,12
800,12
801,12
802,12
803,12
804,12
805,12
806,12
807,12
808,14
809,14
810,14
811,14
812,13
813,14
814,14
815,14
816,14
817,14
818,17
819,10
820,10
821,3
822,10
823,10
824,10
825,10
826,10
827,10
828,17
829,3
830,10
831,10
832,10
833,10
834,3
835,3
836,10
837,10
838,3
839,10
840,10
841,10
842,10
843,3
844,10
845,10
846,3
847,17
848,10
849,10
850,10
851,10
852,10
853,10
854,10
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,9
892,1
893,15
894,15
895,14
896,6
897,1
898,6
899,1
900,6
901,15
902,1
903,15
904,15
905,18
906,6
907,15
908,6
909,15
910,15
911,14
912,6
913,6
914,6
915,18
916,6
917,1
918,15
919,6
920,15
921,17
922,3
923,17
924,10
925,10
926,10
927,17
928,17
929,10
930,3
931,10
932,10
933,10
934,17
935,10
936,10
937,10
938,3
939,10
940,10
941,3
942,3
943,3
944,3
945,10
946,10
947,10
948,10
949,10
950,17
951,10
952,10
953,10
954,17
955,10
956,3
957,10
958,10
959,10
960,10
961,10
962,3
963,3
964,10
965,10
966,3
967,10
968,10
969,10
970,10
971,9
972,9
973,16
974,9
975,16
976,15
977,16
978,9
979,9
980,14
981,9
982,9
983,15
984,9
985,9
986,9
987,14
988,16
989,16
990,14
991,4
992,4
993,4
994,4
995,4
996,4
997,4
998,4
999,4
1000,4
1001,17
1002,10
1003,3
1004,17
1005,10
1006,10
1007,10
1008,17
1009,10
1010,10
1011,10
1012,3
1013,10
1014,10
1015,10
1016,3
1017,10
1018,10
1019,10
1020,3
1021,17
1022,10
1023,3
1024,3
1025,3
1026,10
1027,10
1028,10
1029,10
1030,10
1031,17
1032,10
1033,10
1034,10
1035,3
1036,10
1037,10
1038,10
1039,10
1040,10
1041,3
1042,3
1043,10
1044,10
1045,4
1046,7
1047,4
1048,2
1049,7
1050,4
1051,4
1052,7
1053,2
1054,4
1055,4
1056,4
1057,7
1058,7
1059,7
1060,4
1061,14
1062,7
1063,7
1064,2
1065,1
1066,2
1067,7
1068,7
1069,4
1070,7
1071,4
1072,2
1073,2
1074,7
1075,2
1076,5
1077,5
1078,7
1079,7
1080,4
1081,3
1082,4
1083,4
1084,4
1085,4
1086,4
1087,18
1088,4
1089,4
1090,4
1091,4
1092,4
1093,4
1094,4
1095,14
1096,14
1097,4
1098,4
1099,4
1100,4
1101,8
1102,8
1103,2
1104,5
1105,2
1106,7
1107,7
1108,7
1109,4
1110,7
1111,7
1112,7
1113,4
1114,7
1115,7
1116,7
1117,7
1118,4
1119,4
1120,7
1121,7
1122,7
1123,7
1124,7
1125,7
1126,7
1127,4
1128,7
1129,4
1130,12
1131,12
1132,12
1133,12
1134,7
1135,17
1136,3
1137,10
1138,17
1139,10
1140,10
1141,17
1142,17
1143,10
1144,10
1145,10
1146,3
1147,10
1148,17
1149,10
1150,10
1151,10
1152,3
1153,10
1154,10
1155,3
1156,3
1157,3
1158,3
1159,10
1160,10
1161,10
1162,10
1163,17
1164,2
1165,2
1166,2
1167,2
1168,2
1169,2
1170,16
1171,12
1172,12
1173,0
1174,3
1175,7
1176,16
1177,2
1178,4
1179,4
1180,4
1181,4
1182,4
1183,4
1184,4
1185,4
1186,4
1187,4
1188,4
1189,17
1190,3
1191,10
1192,17
1193,10
1194,10
1195,17
1196,10
1197,10
1198,10
1199,3
1200,10
1201,17
1202,10
1203,10
1204,10
1205,3
1206,10
1207,10
1208,3
1209,3
1210,3
1211,3
1212,10
1213,10
1214,10
1215,10
1216,17
1217,10
1218,10
1219,1
1220,3
1221,18
1222,3
1223,1
1224,18
1225,1
1226,1
1227,3
1228,3
1229,1
1230,1
1231,1
1232,3
1233,1
1234,18
1235,3
1236,18
1237,1
1238,1
1239,3
1240,1
1241,18
1242,3
1243,1
1244,1
1245,1
1246,18
1247,1
1248,3
1249,1
1250,18
1251,1
1252,13
1253,3
1254,13
1255,13
1256,11
1257,3
1258,13
1259,3
1260,13
1261,13
1262,11
1263,3
1264,13
1265,13
1266,1
1267,1
1268,1
1269,3
1270,1
1271,3
1272,3
1273,1
1274,1
1275,1
1276,1
1277,1
1278,3
1279,1
1280,3
1281,1
1282,3
1283,1
1284,3
1285,1
1286,1
1287,1
1288,8
1289,3
1290,3
1291,9
1292,9
1293,9
1294,9
1295,9
1296,9
1297,9
1298,10
1299,10
1300,10
1301,10
1302,3
1303,3
1304,3
1305,3
1306,10
1307,10
1308,10
1309,10
1310,10
1311,17
1312,10
1313,10
1314,10
1315,3
1316,17
1317,17
1318,10
1319,10
1320,17
1321,17
1322,17
1323,10
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,10
1340,3
1341,10
1342,10
1343,10
1344,10
1345,10
1346,10
1347,3
1348,3
1349,10
1350,10
1351,3
1352,10
1353,10
1354,10
1355,10
1356,10
1357,3
1358,10
1359,10
1360,3
1361,10
1362,10
1363,10
1364,10
1365,10
1366,3
1367,10
1368,10
1369,10
1370,3
1371,10
1372,10
1373,3
1374,10
1375,10
1376,10
1377,3
1378,10
1379,10
1380,3
1381,10
1382,10
1383,3
1384,10
1385,10
1386,10
1387,10
1388,10
1389,10
1390,3
1391,10
1392,10
1393,10
1394,3
1395,3
1396,10
1397,10
1398,10
1399,10
1400,10
1401,3
1402,10
1403,10
1404,3
1405,10
1406,10
1407,10
1408,10
1409,3
1410,3
1411,10
1412,10
1413,3
1414,10
1415,10
1416,10
1417,10
1418,10
1419,3
1420,10
1421,10
1422,10
1423,3
1424,10
1425,17
1426,10
1427,3
1428,10
1429,17
1430,17
1431,10
1432,2
1433,2
1434,2
1435,2
1436,2
1437,3
1438,3
1439,2
1440,2
1441,1
1442,2
1443,13
1444,2
1445,1
1446,2
1447,3
1448,1
1449,13
1450,3
1451,13
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,14
1459,14
1460,16
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,7
1468,7
1469,7
1470,7
1471,7
