,0
0,0
1,5
2,12
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,11
26,11
27,7
28,10
29,10
30,10
31,6
32,6
33,6
34,6
35,1
36,14
37,14
38,6
39,0
40,1
41,6
42,6
43,6
44,6
45,6
46,1
47,6
48,6
49,2
50,6
51,6
52,6
53,6
54,6
55,0
56,0
57,0
58,5
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,7
67,7
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,7
82,7
83,7
84,7
85,7
86,11
87,11
88,11
89,11
90,11
91,11
92,11
93,11
94,11
95,11
96,11
97,0
98,11
99,11
100,11
101,11
102,0
103,0
104,0
105,0
106,0
107,12
108,0
109,5
110,14
111,10
112,10
113,6
114,6
115,6
116,6
117,6
118,7
119,7
120,7
121,7
122,7
123,7
124,7
125,7
126,7
127,7
128,7
129,7
130,7
131,7
132,7
133,7
134,7
135,7
136,0
137,0
138,0
139,0
140,0
141,4
142,4
143,1
144,1
145,1
146,6
147,6
148,6
149,0
150,6
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,6
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,14
169,7
170,7
171,7
172,7
173,7
174,7
175,7
176,7
177,7
178,7
179,7
180,7
181,7
182,7
183,7
184,7
185,7
186,7
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,5
195,5
196,5
197,5
198,5
199,5
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,5
221,10
222,10
223,10
224,10
225,10
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,6
236,6
237,6
238,7
239,6
240,6
241,6
242,7
243,7
244,7
245,7
246,6
247,6
248,7
249,7
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,6
258,0
259,0
260,6
261,0
262,0
263,0
264,6
265,7
266,7
267,7
268,7
269,7
270,7
271,7
272,7
273,7
274,7
275,7
276,7
277,7
278,7
279,7
280,7
281,7
282,7
283,7
284,7
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,9
299,4
300,6
301,6
302,6
303,6
304,6
305,6
306,6
307,6
308,6
309,6
310,6
311,6
312,6
313,6
314,6
315,6
316,6
317,6
318,10
319,10
320,10
321,10
322,10
323,10
324,10
325,10
326,10
327,10
328,10
329,10
330,10
331,10
332,6
333,10
334,10
335,10
336,10
337,10
338,10
339,10
340,10
341,10
342,10
343,10
344,10
345,10
346,10
347,10
348,10
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,6
367,6
368,0
369,6
370,0
371,6
372,0
373,0
374,0
375,6
376,0
377,0
378,6
379,0
